"year","Species","count"
"2016","Bullfrog",37
"2016","Redfrog",20
"2017","Bullfrog",48
"2017","Redfrog",52
"2018","Bullfrog",119
"2018","Redfrog",66
"2019","Bullfrog",204
"2019","Redfrog",119
"2020","Bullfrog",233
"2020","Redfrog",135
"2021","Bullfrog",255
"2021","Redfrog",162
"2022","Bullfrog",272
"2022","Redfrog",214
"2023","Bullfrog",312
"2023","Redfrog",512
"2024","Bullfrog",462
"2024","Redfrog",1296
"2025","Bullfrog",463
"2025","Redfrog",963
